,Unnamed: 0,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
0,0,CSS1611101400424116462,78,60,33,25,20,2,3,1,1,7,0,0,0,0,1,3,2,1,1,0,0,0,3,2,8,10,24,22,13,29,107,4,0,0,3
4,4,CSS1611091600294129774,66,48,31,24,13,17,5,2,1,23,0,0,0,0,1,5,4,1,0,0,0,0,0,0,11,10,27,24,15,24,102,6,0,0,2
6,6,CSS1611091210484112960,63,52,40,41,18,1,4,9,1,0,0,0,0,0,1,3,2,1,0,0,0,1,2,2,8,10,23,20,15,33,104,8,0,0,5
7,7,CSS1611091120214135441,44,39,29,44,36,10,5,10,8,6,0,0,0,0,1,3,2,1,0,1,0,0,2,4,9,7,20,14,13,22,102,32,0,0,5
9,9,CSS1611091010464105145,55,41,37,32,38,0,0,0,0,24,0,0,0,0,1,5,4,1,0,0,0,0,0,3,9,9,28,21,15,13,112,10,0,0,2
10,10,CSS1611081550304129645,48,33,27,43,52,8,1,4,9,5,0,0,0,0,1,4,3,1,0,0,0,0,3,2,9,10,24,19,14,28,104,9,0,0,5
12,12,CSS1611071230074109142,48,46,36,46,33,17,2,0,0,0,0,0,0,0,1,4,3,1,0,1,0,1,2,6,10,11,23,10,8,6,109,37,0,0,5
13,13,CSS1611071180094132061,27,25,23,41,59,30,17,7,1,1,0,0,0,0,1,3,2,1,0,0,1,1,3,4,13,11,22,11,8,9,110,32,0,0,0
16,16,CSS1611071010084108990,50,49,34,38,42,13,2,0,0,0,0,0,0,0,1,4,3,1,0,0,0,3,2,7,13,11,23,9,3,0,107,46,0,0,0
20,20,CSS1611061210044109538,56,43,28,26,41,14,14,7,0,0,0,0,0,0,1,5,3,1,0,1,0,0,3,6,8,12,25,11,8,11,111,26,0,0,5
21,21,CSS1611061091234116212,51,41,31,41,39,5,6,13,2,0,0,0,0,0,1,4,3,1,0,0,0,0,3,5,8,10,21,10,10,20,112,23,0,0,5
22,22,CSS1611051120134110028,43,35,40,51,52,6,1,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,2,4,9,8,21,16,9,22,104,29,0,0,5
33,33,CSS1610231570204118948,31,26,22,37,56,23,5,1,2,27,1,0,0,0,1,3,2,1,0,0,0,0,3,3,9,10,19,16,10,21,101,31,2,0,2
37,37,CSS1610211260104103466,25,25,24,39,63,27,11,6,4,7,1,0,0,0,1,3,2,1,1,0,0,0,2,5,11,10,21,12,9,11,108,36,0,0,3
41,41,CSS1610131570194117494,29,25,20,32,62,29,20,12,1,0,0,0,0,0,1,4,3,1,0,0,0,0,4,3,11,14,26,20,14,15,104,14,0,0,2
42,42,CSS1610131180104104884,34,32,28,45,43,12,4,7,17,8,0,0,0,0,1,3,2,1,0,0,1,2,3,3,10,10,20,12,10,14,108,33,2,0,5
43,43,CSS1610131150114102277,22,21,20,36,61,28,13,14,10,5,0,0,0,0,1,3,2,1,0,0,0,1,4,3,8,8,17,12,9,21,99,41,2,0,5
44,44,CSS1610121600264129045,41,32,27,46,42,17,6,3,8,7,0,0,0,0,1,4,3,1,0,0,0,0,3,2,11,12,27,19,11,17,83,35,1,0,2
45,45,CSS1610121290034137586,36,28,22,31,34,4,2,6,17,49,0,0,0,0,1,3,2,1,1,1,0,0,3,5,10,8,19,11,11,13,94,50,0,0,5
46,46,CSS1610121230404110031,40,36,32,45,43,5,4,8,9,7,0,0,0,0,1,2,2,1,0,0,0,1,3,2,8,7,18,14,10,28,98,37,2,0,5
48,48,CSS1610111210514134421,47,39,33,46,34,5,4,2,1,18,0,0,0,0,1,2,2,1,0,0,1,1,2,2,7,7,17,13,11,25,100,41,2,0,2
49,49,CSS1610111070074115832,52,42,33,34,41,24,2,1,0,0,0,0,0,0,1,3,2,1,0,0,1,1,1,3,8,8,18,13,11,18,97,47,2,0,5
52,52,CSS1610101660414123208,19,18,15,25,46,52,35,11,7,1,0,0,0,0,1,5,3,1,0,0,0,0,4,4,4,10,15,14,10,34,57,70,0,0,5
