,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
0,CSS1611101400424116462,78,60,33,25,20,2,3,1,1,7,0,0,0,0,1,3,2,1,1,0,0,0,3,2,8,10,24,22,13,29,107,4,0,0,3
1,CSS1611101210274176502,148,65,13,2,0,0,0,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,3,4,10,8,23,21,15,25,107,7,0,0,4
2,CSS1611101150154137989,38,32,26,36,19,0,0,0,0,0,32,0,0,0,1,4,3,1,0,0,0,1,4,3,10,8,16,16,8,29,102,26,0,0,4
3,CSS1611091630244128695,225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2,2,0,0,0,0,0,12,14,24,26,15,24,92,10,0,0,4
4,CSS1611091600294129774,66,48,31,24,13,17,5,2,1,23,0,0,0,0,1,5,4,1,0,0,0,0,0,0,11,10,27,24,15,24,102,6,0,0,2
5,CSS1611091350304122705,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,33,17,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,4
6,CSS1611091210484112960,63,52,40,41,18,1,4,9,1,0,0,0,0,0,1,3,2,1,0,0,0,1,2,2,8,10,23,20,15,33,104,8,0,0,5
7,CSS1611091120214135441,44,39,29,44,36,10,5,10,8,6,0,0,0,0,1,3,2,1,0,1,0,0,2,4,9,7,20,14,13,22,102,32,0,0,5
8,CSS1611091120214104142,44,39,35,51,49,10,1,0,0,0,0,0,0,0,1,3,2,1,0,1,0,0,2,4,9,7,20,14,13,22,102,32,0,0,4
9,CSS1611091010464105145,55,41,37,32,38,0,0,0,0,24,0,0,0,0,1,5,4,1,0,0,0,0,0,3,9,9,28,21,15,13,112,10,0,0,2
10,CSS1611081550304129645,48,33,27,43,52,8,1,4,9,5,0,0,0,0,1,4,3,1,0,0,0,0,3,2,9,10,24,19,14,28,104,9,0,0,5
11,CSS1611080151224107156,70,55,45,33,15,3,8,0,0,0,0,0,0,0,2,8,5,1,0,0,0,4,5,2,13,11,22,7,0,0,87,64,0,0,6
12,CSS1611071230074109142,48,46,36,46,33,17,2,0,0,0,0,0,0,0,1,4,3,1,0,1,0,1,2,6,10,11,23,10,8,6,109,37,0,0,5
13,CSS1611071180094132061,27,25,23,41,59,30,17,7,1,1,0,0,0,0,1,3,2,1,0,0,1,1,3,4,13,11,22,11,8,9,110,32,0,0,0
