,error,filename
0,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data0/1611091350304122705
1,index 18 is out of bounds for axis 0 with size 18,/home/aibsen/LC-Classification-Prediction/data0/1409261321014150408
2,index 3 is out of bounds for axis 0 with size 3,/home/aibsen/LC-Classification-Prediction/data1/1512171131354105778
3,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1512171101554108106
4,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1512161100324107952
5,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1511141200374109657
6,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data1/1511081140364101607
7,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1510241250584106421
8,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1509181070144115184
9,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1509181050134118410
10,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1509181000044103368
11,index 12 is out of bounds for axis 0 with size 12,/home/aibsen/LC-Classification-Prediction/data1/1505260022244110739
12,index 6 is out of bounds for axis 0 with size 6,/home/aibsen/LC-Classification-Prediction/data1/1505100111884116723
13,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1505100012104116293
14,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1505071021664105071
15,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1505071021624112701
16,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1505070141974114179
17,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1504191281424118106
18,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1504191281424115293
19,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1503261031494105101
20,index 12 is out of bounds for axis 0 with size 12,/home/aibsen/LC-Classification-Prediction/data1/1412281150344104123
21,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1409271010074105029
22,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1409271010074101165
23,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1405051011634105947
24,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data1/1405051011614113321
25,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1404041121454102801
26,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1404041121424112145
27,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1402271170974119047
28,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1402260031874116129
29,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1402260021864105208
30,index 4 is out of bounds for axis 0 with size 4,/home/aibsen/LC-Classification-Prediction/data1/1402260011864111053
31,index 9 is out of bounds for axis 0 with size 9,/home/aibsen/LC-Classification-Prediction/data1/1402061151274114785
32,index 8 is out of bounds for axis 0 with size 8,/home/aibsen/LC-Classification-Prediction/data1/1401211230944128272
