CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification,SubClassification
SSS130705:211337-521505,318.40306,-52.25132,20130705,17.30,1307050511014102883,no,10288,no,2013-07-05,10288,yes,CV," mag 19,5     "
SSS130702:001450-083824,  3.71039, -8.63996,20130702,18.09,1307020090024114212,yes,11421,no,2013-07-02,11421,yes,HPM," SDSS mag 20,1    "
SSS130623:221034-223948,332.64277,-22.66323,20130623,17.00,1306230231544116063,no,11606,no,2013-06-23,11606,yes,SN, 2013cy (Monard)     
SSS130621:191833-521451,289.63564,-52.24745,20130621,17.94,1306210510924105112,no,10511,no,2013-06-21,10511,yes,SN," 2MASX_J191834 mag 16,2    "
SSS130621:213306-365342,323.27555,-36.89510,20130621,19.53,1306210371304117222,no,11722,no,2013-06-21,11722,yes,Unknown, mag 21     
SSS130616:203055-411703,307.72869,-41.28418,20130616,17.99,1306160411184110689,no,11068,no,2013-06-21,11068,yes,Blazar?," mag 20,5     "
SSS130616:130558-394513,196.49094,-39.75372,20130616,17.92,1306160390774114272,no,11427,no,2013-06-16,11427,yes,CV, >20      
SSS130608:110529-114703,166.36974,-11.78422,20130608,19.27,1306080110824103382,no,10338,no,2013-06-08,10338,yes,AGN?, mag >20     
SSS130603:144816-292834,222.06508,-29.47602,20130603,18.14,1306030290984119711,no,11971,no,2013-07-02,11971,yes,Unknown, mag >21     
SSS130531:144134-202020,220.38984,-20.33901,20130531,18.57,1305310211034136087,no,13608,no,2013-05-31,13608,yes,SN, (CSS130515) mag 21    
SSS130531:121323-163907,183.34504,-16.65201,20130531,17.14,1305310170884124039,no,12403,no,2013-07-01,12403,yes,Flare," mag 20,5     "
SSS130529:194602-494556,296.50862,-49.76548,20130529,15.45,1305290490994115113,no,11511,no,2013-07-03,11511,yes,HPM, 2MASS_J19460      
SSS130529:202733-480818,306.88708,-48.13843,20130529,17.05,1305290471064104271,no,10427,no,2013-07-03,10427,yes,CV?," mag >19,7     "
SSS130529:131740-300044,199.41516,-30.01210,20130529,13.70,1305290290884102556,no,10255,no,2013-07-01,10255,yes,CV?," mag 16,0     "
SSS130529:094048-052610,145.19825, -5.43613,20130529,18.70,1305290050734106863,no,10686,no,2013-05-29,10686,yes,SN, 2013bk      
SSS130520:151515-360919,228.81326,-36.15538,20130520,17.90,1305200350954106176,no,10617,no,2013-06-03,10617,yes,SN," mag 15,8     "
SSS130514:082144-534419,125.43441,-53.73867,20130514,17.83,1305140530384132818,no,13281,no,2013-05-14,13281,yes,Unknown," mag >21,5     "
SSS130514:094630-314043,146.62352,-31.67871,20130514,17.63,1305140310644116717,no,11671,no,2013-05-14,11671,yes,CV," mag >20,5     "
SSS130514:212502-214311,321.25808,-21.71969,20130514,15.90,1305140211504108212,no,10821,no,2013-05-14,10821,yes,CV," mag 19,3     "
SSS130514:131515-175756,198.81170,-17.96545,20130514,14.68,1305140170954102974,no,10297,no,2013-06-04,10297,yes,SN," (Howerton) mag 14,7    "
SSS130511:105904-245046,164.76468,-24.84614,20130511,19.38,1305110250754121504,no,12150,no,2013-06-21,12150,yes,CV?," mag 21,5     "
SSS130510:121651-365243,184.21087,-36.87871,20130510,17.15,1305100370744135312,no,13531,no,2013-05-10,13531,yes,CV, mag >21     
SSS130510:120632-370229,181.63174,-37.04127,20130510,14.70,1305100370734131585,no,13158,no,2013-05-10,13158,yes,CV," mag 19,0     "
SSS130510:131804-323245,199.51561,-32.54592,20130510,19.44,1305100330844137362,no,13736,no,2013-06-16,13736,yes,CV," mag 20,5     "
SSS130510:101409-270802,153.53950,-27.13401,20130510,19.78,1305100270694121866,no,12186,no,2013-05-10,12186,yes,Unknown,       
SSS130510:144418-201951,221.07305,-20.33095,20130510,16.61,1305100211044134866,no,13486,no,2013-07-05,13486,yes,HPM, 2MASSJ1444206      
SSS130510:165127-131809,252.86355,-13.30245,20130510,18.37,1305100131234127582,no,12758,no,2013-05-10,12758,yes,Unknown," mag >21,5     "
SSS130510:055938-123515, 89.90936,-12.58751,20130510,18.86,1305100130444129225,no,12922,no,2013-05-10,12922,yes,Unknown,       
SSS130506:110713-354522,166.80282,-35.75609,20130506,19.77,1305060350694112457,no,11245,no,2013-06-16,11245,yes,Unknown," mag >21,5     "
SSS130506:104817-300716,162.07065,-30.12099,20130506,12.14,1305060290724103247,no,10324,no,2013-06-16,10324,yes,HPM, LHS_2311      
SSS130504:150957-234859,227.48854,-23.81626,20130504,16.80,1305040231054109344,no,10934,no,2013-07-02,10934,yes,CV, mag 21     
SSS130504:122436-193917,186.15027,-19.65470,20130504,19.06,1305040190884107245,no,10724,no,2013-07-01,10724,yes,SN," mag 20,5     "
SSS130504:085948-153759,134.94831,-15.63307,20130504,16.62,1305040150664110213,no,11021,no,2013-06-11,11021,yes,CV?," mag 20,5     "
SSS130503:070131-603702,105.37771,-60.61736,20130503,16.75,1305030610264126933,no,12693,no,2013-05-03,12693,yes,CV," mag >20,5     "
SSS130503:194156-390107,295.48134,-39.01848,20130503,17.54,1305030391164131488,no,13148,no,2013-06-16,13148,yes,SN?, mag >21     
SSS130503:180501-025011,271.25364, -2.83640,20130503,15.28,1305030031354134163,no,13416,no,2013-05-03,13416,yes,YSO?, IRAS_18024-0250      
