,ID,RA (J2000),Dec (J2000),UT Date,Mag,images,SDSS,Others,Followed,Last,LC,FC,Classification,SubClassification,Survey,tag
0,CSS161110:100924+404333,152.34908000000001,40.7258,20161110.5,18.41,1611101400424116462,yes,11646,no,2016-11-10,11646,yes,Flare," SDSS mag 20,4    ",CSS,3
1,CSS161110:052054+215937,80.22595,21.99364,20161110.34,16.69,1611101210274176502,no,17650,no,2016-11-10,17650,yes,HPM, 2MASS_J052053      ,CSS,4
2,CSS161110:025305+165148,43.27045,16.86336,20161110.22,12.58,1611101150154137989,no,13798,no,2016-11-10,13798,yes,HPM, GAT_1370      ,CSS,4
3,CSS161109:093408+642248,143.53166000000002,64.38013000000001,20161109.33,13.83,1611091630244128695,yes,12869,no,2016-11-09,12869,yes,HPM, G_235-29      ,CSS,4
4,CSS161109:102925+612835,157.35429,61.47645,20161109.44,17.11,1611091600294129774,yes,12977,no,2016-11-09,12977,yes,CV," SDSS mag >22,5    ",CSS,2
5,CSS161109:063758+342958,99.4934,34.49948,20161109.36,13.72,1611091350304122705,no,12270,no,2016-11-09,12270,yes,HPM, LHS_218      ,CSS,4
6,CSS161109:093032+203629,142.63453,20.60814,20161109.49,18.44,1611091210484112960,yes,11296,no,2016-11-09,11296,yes,SN," SDSS mag 20,8    ",CSS,5
7,CSS161109:035036+135451,57.65194,13.91412,20161109.24,17.51,1611091120214135441,no,13544,no,2016-11-09,13544,yes,SN, (ATLAS16dsr) SDSS mag    ,CSS,5
8,CSS161109:035524+113331,58.84843000000001,11.55875,20161109.24,19.55,1611091120214104142,yes,10414,no,2016-11-09,10414,yes,HPM, 2MASS_J035523      ,CSS,4
9,CSS161109:082930+001324,127.37297,0.22334,20161109.47,16.48,1611091010464105145,yes,10514,no,2016-11-09,10514,yes,CV," SDSS mag 21,8    ",CSS,2
10,CSS161108:092517+553459,141.319,55.583090000000006,20161108.48,17.96,1611081550304129645,yes,12964,no,2016-11-08,12964,yes,SN," (ATLAS16dtz) mag 14,5    ",CSS,5
11,CSS161108:233508-162209,353.7831,-16.36903,20161108.2,18.91,1611080151224107156,no,10715,no,2016-11-08,10715,yes,Unknown," mag >21,5     ",CSS,6
12,CSS161107:012407+231107,21.02794,23.18541,20161107.28,19.75,1611071230074109142,yes,10914,no,2016-11-07,10914,yes,SN, SDSS mag >22    ,CSS,5
13,CSS161107:013635+193432,24.14416,19.575689999999998,20161107.43,18.46,1611071180094132061,yes,13206,no,2016-11-07,13206,yes,AGN," SDSS mag 21,3    ",CSS,0
14,CSS161107:213249+125022,323.20457000000005,12.83957,20161107.1,16.55,1611071121144136942,no,13694,no,2016-11-07,13694,yes,HPM, LHS_3684      ,CSS,4
15,CSS161107:012706+125127,21.77577,12.8576,20161107.25,14.72,1611071120084120846,no,12084,no,2016-11-07,12084,yes,HPM, LP_467-68      ,CSS,4
16,CSS161107:012833+003808,22.13552,0.63542,20161107.22,19.88,1611071010084108990,yes,10899,no,2016-11-07,10899,yes,AGN," SDSS mag 22,0    ",CSS,0
17,CSS161107:025008-015027,42.53247,-1.84096,20161107.38,16.04,1611070010164112041,yes,11204,no,2016-11-07,11204,yes,HPM," LHS_1451 SDSS mag 17,0   ",CSS,4
18,CSS161106:035401+333319,58.50609,33.55515,20161106.4,15.62,1611061320184156776,no,15677,no,2016-11-06,15677,yes,HPM, 2MASS_J035400      ,CSS,4
19,CSS161106:044254+292853,70.72304,29.48129,20161106.45,15.01,1611061290234141895,no,14189,no,2016-11-06,14189,yes,HPM, LHS_1698      ,CSS,4
20,CSS161106:004134+202046,10.39148,20.346220000000002,20161106.22,19.58,1611061210044109538,yes,10953,no,2016-11-06,10953,yes,SN," (MLS161020) SDSS mag 21,4   ",CSS,5
21,CSS161106:231233+092930,348.1368,9.49163,20161106.14,18.65,1611061091234116212,yes,11621,no,2016-11-06,11621,yes,SN," SDSS mag 20,6    ",CSS,5
22,CSS161105:022310+115757,35.79305,11.9657,20161105.31,19.67,1611051120134110028,yes,11002,no,2016-11-05,11002,yes,SN, SDSS mag >22    ,CSS,5
23,CSS161105:012907-140443,22.2774,-14.07875,20161105.25,20.1,1611050120084101123,no,10112,no,2016-11-05,10112,yes,Unknown," mag >21,5     ",CSS,6
24,CSS161102:054510+064644,86.29073000000001,6.77902,20161102.44,16.72,1611021070314137583,no,13758,no,2016-11-08,13758,yes,YSO," mag 18,0     ",CSS,8
25,CSS161030:071945+250651,109.93938999999999,25.11404,20161030.51,13.22,1610301230374170682,yes,17068,no,2016-11-10,17068,yes,HPM, LHS_6120      ,CSS,4
26,CSS161030:034625+114309,56.60592,11.71919,20161030.35,14.23,1610301120204106685,no,10668,no,2016-11-09,10668,yes,HPM, LHS_1589a      ,CSS,4
27,CSS161029:090544+673334,136.43391,67.55935,20161029.51,13.84,1610291660214144382,no,14438,no,2016-11-09,14438,yes,HPM, LHS_2102      ,CSS,4
28,CSS161029:083859+624034,129.74492,62.67612,20161029.51,14.36,1610291630224109495,yes,10949,no,2016-11-09,10949,yes,HPM, LHS_2032      ,CSS,4
29,CSS161028:020557+400813,31.48593,40.13705,20161028.21,14.92,1610281400094114941,no,11494,no,2016-11-06,11494,yes,HPM, G_133-64      ,CSS,4
30,CSS161027:015912+282252,29.79976,28.38121,20161027.3,19.84,1610271290104102413,yes,10241,no,2016-11-06,10241,yes,Unknown, SDSS mag >22    ,CSS,6
31,CSS161024:070822+605339,107.09369,60.89423000000001,20161024.42,15.02,1610241600204126524,no,12652,no,2016-11-10,12652,yes,HPM, LHS_1897      ,CSS,4
32,CSS161023:071553+580105,108.97044,58.017990000000005,20161023.43,15.14,1610231570224126275,no,12627,no,2016-11-10,12627,yes,HPM, NLTT_17575      ,CSS,4
33,CSS161023:063918+572311,99.8235,57.386269999999996,20161023.43,15.93,1610231570204118948,no,11894,no,2016-11-10,11894,yes,CV, mag 21     ,CSS,2
34,CSS161023:072337+454033,110.90409,45.67586,20161023.46,14.73,1610231460284109296,no,10929,no,2016-10-27,10929,yes,HPM, LHS_1915      ,CSS,4
35,CSS161023:012122-175025,20.34194,-17.84027,20161023.28,15.8,1610230180074121576,no,12157,no,2016-11-07,12157,yes,HPM, LHS_1235      ,CSS,4
36,CSS161022:055510-041046,88.79222,-4.17943,20161022.48,14.27,1610220040324133781,no,13378,no,2016-11-08,13378,yes,HPM, EGGR_45      ,CSS,4
37,CSS161021:015224+253647,28.098670000000002,25.613129999999998,20161021.31,17.21,1610211260104103466,yes,10346,no,2016-11-06,10346,yes,Flare," SDSS mag 21,0    ",CSS,3
38,CSS161021:034435+182551,56.147259999999996,18.43082,20161021.33,15.02,1610211180204120790,no,12079,no,2016-10-29,12079,yes,HPM, Wolf_219      ,CSS,4
39,CSS161021:042621+043221,66.58938,4.53918,20161021.49,16.71,1610211040244121915,no,12191,no,2016-11-07,12191,yes,HPM, EGGR_482      ,CSS,4
40,CSS161020:025239-143157,43.163109999999996,-14.53246,20161020.36,16.0,1610200150154126336,no,12633,no,2016-11-08,12633,yes,HPM, LHS_1462      ,CSS,4
41,CSS161013:061443+571643,93.68036,57.27874,20161013.35,18.53,1610131570194117494,no,11749,no,2016-11-10,11749,yes,CV, (PS1_15aaf) mag 21    ,CSS,2
42,CSS161013:015319+171853,28.330679999999997,17.31481,20161013.25,17.75,1610131180104104884,yes,10488,no,2016-11-07,10488,yes,SN," SDSS mag 21,2    ",CSS,5
43,CSS161013:020130+141534,30.37688,14.25937,20161013.3,17.42,1610131150114102277,yes,10227,no,2016-11-09,10227,yes,SN," SDSS mag 19,8    ",CSS,5
44,CSS161012:091644+612414,139.1829,61.403969999999994,20161012.46,17.49,1610121600264129045,yes,12904,no,2016-10-12,12904,yes,CV," SDSS mag 21,2    ",CSS,2
45,CSS161012:002730+305937,6.87609,30.993740000000003,20161012.32,16.67,1610121290034137586,no,13758,no,2016-11-05,13758,yes,SN," (SNhunt325) SDSS mag 15,1   ",CSS,5
46,CSS161012:075706+230855,119.27405,23.14872,20161012.44,17.7,1610121230404110031,yes,11003,no,2016-10-30,11003,yes,SN, SDSS mag >22    ,CSS,5
47,CSS161012:044153+230748,70.46955,23.13009,20161012.41,18.46,1610121230244114553,yes,11455,no,2016-11-10,11455,yes,Unknown, mag 21     ,CSS,6
48,CSS161011:100629+222644,151.62138000000002,22.445610000000002,20161011.5,16.98,1610111210514134421,yes,13442,no,2016-11-10,13442,yes,CV/SN," SDSS mag 22,5    ",CSS,2
49,CSS161011:011715+065753,19.31415,6.964589999999999,20161011.33,17.14,1610111070074115832,yes,11583,no,2016-11-06,11583,yes,SN," (AT2016gta) SDSS mag 18,6   ",CSS,5
50,CSS161011:234318-241153,355.8263,-24.19817,20161011.24,12.56,1610110231174113878,no,11387,no,2016-11-04,11387,yes,HPM, L_720-88      ,CSS,4
51,CSS161011:043145-215056,67.93555,-21.84887,20161011.44,14.31,1610110210234109164,no,10916,no,2016-10-11,10916,yes,HPM, LHS_1676      ,CSS,4
52,CSS161010:174615+662719,266.5632,66.45521,20161010.18,17.96,1610101660414123208,yes,12320,no,2016-10-29,12320,yes,SN," SDSS mag 19,5    ",CSS,5
53,CSS161010:045834-081803,74.64336999999999,-8.30096,20161010.48,16.29,1610100070274103261,no,10326,no,2016-10-22,10326,yes,SN, mag 21     ,CSS,5
54,CSS161010:042703-061023,66.76374,-6.17312,20161010.45,16.67,1610100070244133288,no,13328,no,2016-10-21,13328,yes,SN," (2016ghu) mag 14,6    ",CSS,5
55,CSS161010:041750-044742,64.46019,-4.79491,20161010.45,18.11,1610100040234111500,yes,11150,no,2016-10-10,11150,yes,SN, (2016gho) mag 16    ,CSS,5
56,CSS161009:222818-145657,337.07434,-14.9491,20161009.31,17.81,1610090151174125109,no,12510,no,2016-11-04,12510,yes,CV, (MASTER) mag 22    ,CSS,2
57,CSS161009:225000-125117,342.49855,-12.85467,20161009.3,19.12,1610090121204115828,no,11582,no,2016-11-04,11582,yes,Blazar, PKS_2247-131      ,CSS,1
58,CSS161007:075154+331320,117.97363999999999,33.22214,20161007.48,16.57,1610071320374137623,yes,13762,no,2016-10-31,13762,yes,Blazar," (0748+333) SDSS mag 19,6   ",CSS,1
59,CSS161007:025606+274205,44.0261,27.70148,20161007.4,17.08,1610071260154236648,yes,23664,no,2016-11-06,23664,yes,SN," (MASTER) mag 16,2    ",CSS,5
60,CSS161006:221712+313817,334.29902000000004,31.63803,20161006.16,16.03,1610061321034114619,yes,11461,no,2016-11-07,11461,yes,HPM, LHS_3785      ,CSS,4
61,CSS161006:031904-040009,49.76507,-4.00251,20161006.34,19.67,1610060040184119667,no,11966,no,2016-11-07,11966,yes,SN?," mag 20,7     ",CSS,5
62,CSS161005:015134+290523,27.89224,29.08975,20161005.23,18.46,1610051290094112842,yes,11284,no,2016-11-06,11284,yes,SN," SDSS mag 21,2    ",CSS,5
63,CSS161005:044930+025154,72.37533,2.8650700000000002,20161005.5,16.84,1610051040264100999,no,10099,no,2016-11-07,10099,yes,CV," mag 20,5     ",CSS,2
64,CSS161005:021041-011000,32.6699,-1.16676,20161005.3,19.08,1610050010124122001,yes,12200,no,2016-11-07,12200,yes,SN," SDSS mag 20,8    ",CSS,5
65,CSS161004:223618-191954,339.07481,-19.33174,20161004.2,18.48,1610040181164105823,yes,10582,no,2016-11-04,10582,yes,SN, (PS16eja) mag 21    ,CSS,5
66,CSS161001:010918+174749,17.32634,17.79707,20161001.34,17.86,1610011180064110646,yes,11064,no,2016-11-06,11064,yes,SN," SDSS mag 19,9    ",CSS,5
